record_id,record_date,boat_id,boat_type,engine_model,engine_age_years,total_engine_hours,avg_daily_operating_hours,last_maintenance_date,last_maintenance_type,days_since_last_maintenance,hours_since_last_service,engine_temp_c,oil_pressure_bar,coolant_level_percent,engine_rpm,fuel_consumption_lph,vibration_level,unusual_sounds,oil_change_days_ago,filter_change_days_ago,sea_condition,hull_condition,last_inspection_days,condition_severity,maintenance_reason,maintenance_condition_notes,days_until_maintenance,maintenance_needed_soon,maintenance_due_date
R1157,2024-07-04,FB004,Net Boat,Cummins QSB6.7,5.2,10047,7,2024-05-31,Fuel filter replacement,34,243,80.4,3.97,85,1754,71.0,1,No,25,34,1,Fair,42,Normal,Routine preventive maintenance,All parameters normal,37,No,2024-08-10
R1158,2024-07-05,FB026,Longline,Caterpillar C7.1,4.5,9715,7,2024-06-06,Fuel filter replacement,29,205,78.0,4.29,86,892,18.7,1,No,50,40,2,Good,9,Normal,Oil change due soon,oil_change_overdue=50days,54,No,2024-08-28
R1159,2024-07-05,FB012,Gillnetter,Caterpillar C9.3,5.7,11854,11,2024-05-25,Fuel filter replacement,41,455,85.3,3.32,86,1347,47.3,2,No,11,8,1,Good,23,Normal,Routine preventive maintenance,All parameters normal,85,No,2024-09-28
R1160,2024-07-06,FB011,Longline,Caterpillar C7.1,7.8,15745,11,2024-06-25,Oil & filter change,11,121,71.6,5.5,96,1022,21.5,1,No,7,9,3,Poor,48,Normal,Hull/inspection required,hull_poor; inspection_overdue=48days,14,No,2024-07-20
R1161,2024-07-06,FB018,Seiner,Cummins 6BT5.9,8.5,17897,8,2024-05-11,Oil & filter change,56,451,82.0,2.62,96,1758,70.6,2,No,51,56,1,Poor,55,Normal,Oil change due soon,oil_pressure=2.62bar; oil_change_overdue=51days; filter_overdue=56days; hull_poor; inspection_overdue=55days,31,No,2024-08-06
R1162,2024-07-06,FB015,Trawler,Yanmar 6LY3,2.1,3450,8,2024-06-09,Fuel filter replacement,27,216,77.2,3.18,100,1557,60.0,2,No,40,39,2,Good,26,Normal,Routine preventive maintenance,All parameters normal,55,No,2024-08-30
R1163,2024-07-07,FB026,Longline,Caterpillar C7.1,4.2,8396,9,2024-06-22,Oil & filter change,15,135,71.4,4.32,86,1158,53.1,1,No,58,70,2,Good,22,Normal,Oil change due soon,oil_change_overdue=58days; filter_overdue=70days,48,No,2024-08-24
R1164,2024-07-07,FB016,Longline,Yanmar 4JH45,2.8,5783,7,2024-06-09,Oil & filter change,28,200,80.7,4.2,100,1240,47.8,1,No,31,31,2,Good,8,Normal,Routine preventive maintenance,All parameters normal,82,No,2024-09-27
R1165,2024-07-08,FB016,Longline,Yanmar 4JH45,4.0,7542,9,2024-06-13,Oil & filter change,25,226,77.5,3.99,100,1161,59.3,1,No,36,41,2,Good,17,Normal,Routine preventive maintenance,All parameters normal,7,Yes,2024-07-15
R1166,2024-07-08,FB004,Net Boat,Cummins QSB6.7,3.5,7150,10,2024-05-27,Oil & filter change,42,429,73.6,4.14,89,1498,37.3,1,No,11,3,1,Fair,49,Normal,Hull/inspection required,inspection_overdue=49days,74,No,2024-09-20
R1167,2024-07-09,FB001,Longline,Yanmar 4JH45,2.7,4846,11,2024-05-21,Cooling system service,49,542,78.3,1.93,93,1201,29.3,4,Yes,15,28,2,Good,15,Normal,Emergency: engine protection,oil_pressure=1.93bar; vibration=4; unusual_sounds,7,Yes,2024-07-16
R1168,2024-07-09,FB012,Gillnetter,Caterpillar C9.3,6.8,13945,8,2024-03-31,Major service,100,806,77.1,4.87,98,1277,41.3,2,No,25,27,2,Good,18,Normal,Service interval reached (hours),service_hours=806,33,No,2024-08-11
R1169,2024-07-10,FB030,Trawler,Yanmar 6LY3,5.0,10528,7,2024-05-25,Fuel filter replacement,46,328,76.9,3.44,90,1226,55.1,1,No,29,30,2,Good,13,Normal,Routine preventive maintenance,All parameters normal,23,No,2024-08-02
R1170,2024-07-10,FB028,Seiner,John Deere 6068,7.9,15936,7,2024-06-16,Oil & filter change,24,170,75.1,4.6,90,1794,72.2,1,No,45,41,1,Fair,35,Normal,Oil change due soon,oil_change_overdue=45days,85,No,2024-10-03
R1171,2024-07-11,FB019,Net Boat,Cummins QSB6.7,1.7,2473,8,2024-04-12,Cooling system overhaul,90,723,68.9,1.97,87,1279,31.4,3,No,12,17,1,Good,16,Normal,Low oil pressure,oil_pressure=1.97bar; vibration=3; service_hours=723,19,No,2024-07-30
R1172,2024-07-11,FB019,Net Boat,Cummins QSB6.7,2.0,3516,10,2024-05-12,Valve adjustment,60,600,78.5,3.81,76,1130,34.1,3,No,40,30,1,Good,9,Normal,Approaching service interval,coolant=76%; vibration=3; service_hours=600,19,No,2024-07-30
R1173,2024-07-12,FB012,Gillnetter,Caterpillar C9.3,4.3,8882,7,2024-07-03,Oil & filter change,9,67,72.4,3.15,91,1444,43.0,4,No,21,22,1,Good,26,Normal,Routine preventive maintenance,vibration=4,36,No,2024-08-17
R1174,2024-07-12,FB006,Longline,Volvo D6-310,2.1,4210,10,2024-07-03,Oil & filter change,9,92,70.9,4.06,86,1122,23.3,1,No,26,35,1,Good,24,Normal,Routine preventive maintenance,All parameters normal,29,No,2024-08-10
R1175,2024-07-13,FB001,Longline,Yanmar 4JH45,3.3,5252,9,2024-06-15,Oil & filter change,28,252,76.3,3.85,84,989,46.5,2,No,64,73,1,Fair,24,Normal,Oil change overdue,oil_change_overdue=64days; filter_overdue=73days,60,No,2024-09-11
R1176,2024-07-13,FB011,Longline,Caterpillar C7.1,8.4,17421,10,2024-06-12,Fuel filter replacement,31,319,83.1,3.89,93,1153,34.4,1,No,27,32,1,Good,8,Normal,Routine preventive maintenance,All parameters normal,82,No,2024-10-03
R1177,2024-07-14,FB010,Trawler,Perkins M115T,3.0,6068,9,2024-05-19,Oil & filter change,56,511,79.3,2.75,82,1483,57.5,3,Yes,16,15,1,Fair,40,Normal,Routine preventive maintenance,oil_pressure=2.75bar; vibration=3; unusual_sounds,2,Yes,2024-07-16
R1178,2024-07-14,FB006,Longline,Volvo D6-310,2.9,5390,7,2024-06-24,Oil & filter change,20,141,74.3,3.55,95,1211,40.0,2,No,17,20,1,Good,14,Normal,Routine preventive maintenance,All parameters normal,1,Yes,2024-07-15
R1179,2024-07-15,FB008,Seiner,Volvo D13,5.5,11497,7,2024-03-20,Valve adjustment,117,822,74.0,3.46,93,1221,39.1,2,No,10,4,3,Fair,41,Normal,Service interval reached (hours),service_hours=822,47,No,2024-08-31
R1180,2024-07-15,FB001,Longline,Yanmar 4JH45,5.0,9661,9,2024-06-11,Oil & filter change,34,309,82.5,4.0,88,1194,32.3,1,Yes,34,39,4,Good,6,Normal,Routine preventive maintenance,unusual_sounds; sea_state=4,69,No,2024-09-22
R1181,2024-07-16,FB019,Net Boat,Cummins QSB6.7,5.6,10855,9,2024-05-11,Oil & filter change,66,596,65.0,4.39,90,1299,42.9,3,No,17,12,1,Fair,43,Normal,Routine preventive maintenance,vibration=3,20,No,2024-08-05
R1182,2024-07-16,FB028,Seiner,John Deere 6068,4.1,8379,11,2024-07-11,Routine inspection,5,61,83.6,3.72,83,1207,43.6,1,No,7,5,1,Fair,22,Normal,Routine preventive maintenance,All parameters normal,11,No,2024-07-27
R1183,2024-07-16,FB021,Longline,Volvo D6-310,7.3,15490,11,2024-05-23,Valve adjustment,54,601,65.0,2.58,95,1270,56.9,3,Yes,6,14,1,Fair,27,Normal,Approaching service interval,oil_pressure=2.58bar; vibration=3; unusual_sounds; service_hours=601,2,Yes,2024-07-18
R1184,2024-07-17,FB014,Net Boat,MAN D2862,2.5,5811,7,2024-04-11,Valve adjustment,97,682,68.1,3.69,92,1284,53.4,1,No,55,48,3,Good,21,Normal,Approaching service interval,service_hours=682; oil_change_overdue=55days,67,No,2024-09-22
R1185,2024-07-17,FB013,Seiner,John Deere 6068,4.5,9179,8,2024-06-23,Oil & filter change,24,197,74.4,5.5,92,1373,38.9,3,No,22,20,3,Fair,31,Normal,Routine preventive maintenance,vibration=3,87,No,2024-10-12
R1186,2024-07-18,FB010,Trawler,Perkins M115T,6.3,12831,8,2024-06-01,Cooling system service,47,382,93.2,4.92,94,1005,38.3,1,No,29,27,1,Fair,27,Normal,Cooling system check required,temp=93.2C,12,No,2024-07-30
R1187,2024-07-18,FB005,Trawler,Cummins 6BTA,7.6,15595,7,2024-06-30,Oil & filter change,18,126,89.7,1.5,87,1326,51.5,2,No,26,39,1,Poor,67,Normal,Low oil pressure,temp=89.7C; oil_pressure=1.5bar; hull_poor; inspection_overdue=67days,20,No,2024-08-07
R1188,2024-07-19,FB018,Seiner,Cummins 6BT5.9,4.1,7571,7,2024-06-16,Oil & filter change,33,234,82.9,3.65,81,1524,52.6,3,No,56,65,1,Good,18,Normal,Oil change due soon,coolant=81%; vibration=3; oil_change_overdue=56days; filter_overdue=65days,5,Yes,2024-07-24
R1189,2024-07-19,FB017,Gillnetter,Yanmar 4LHA,5.5,11322,7,2024-04-09,Valve adjustment,101,707,80.5,4.35,96,2000,86.3,1,No,40,39,1,Fair,30,Normal,Approaching service interval,service_hours=707,37,No,2024-08-25
R1190,2024-07-20,FB001,Longline,Yanmar 4JH45,2.0,3632,9,2024-05-19,Cooling system service,62,563,65.0,3.45,95,1325,52.3,1,No,36,41,1,Fair,42,Normal,Routine preventive maintenance,All parameters normal,38,No,2024-08-27
R1191,2024-07-20,FB013,Seiner,John Deere 6068,2.7,5559,7,2024-05-10,Cooling system service,71,498,79.1,3.23,87,1409,52.3,1,No,44,39,2,Good,8,Normal,Routine preventive maintenance,All parameters normal,9,No,2024-07-29
R1192,2024-07-21,FB009,Net Boat,Perkins M92,2.0,3886,7,2024-06-29,Fuel filter replacement,22,157,74.2,3.39,93,1655,69.8,1,No,61,70,1,Good,16,Normal,Oil change overdue,oil_change_overdue=61days; filter_overdue=70days,53,No,2024-09-12
R1193,2024-07-21,FB006,Longline,Volvo D6-310,6.6,13450,7,2024-04-02,Valve adjustment,110,773,72.3,4.04,98,1372,42.0,2,No,22,20,1,Fair,27,Normal,Service interval reached (hours),service_hours=773,44,No,2024-09-03
R1194,2024-07-22,FB022,Gillnetter,Volvo D4-180,3.5,7059,10,2024-05-20,Major service,63,639,79.1,2.68,97,1386,68.5,1,No,16,28,2,Good,20,Normal,Approaching service interval,oil_pressure=2.68bar; service_hours=639,86,No,2024-10-16
R1195,2024-07-22,FB016,Longline,Yanmar 4JH45,6.6,11663,10,2024-07-11,Routine inspection,11,117,74.7,4.55,87,1135,19.2,1,No,38,50,2,Fair,29,Normal,Routine preventive maintenance,All parameters normal,24,No,2024-08-15
R1196,2024-07-23,FB020,Trawler,Cummins 6BTA,2.0,4089,11,2024-05-12,Cooling system overhaul,72,798,84.1,3.56,82,1295,50.7,1,No,16,12,1,Good,10,Normal,Service interval reached (hours),service_hours=798,81,No,2024-10-12
R1197,2024-07-23,FB022,Gillnetter,Volvo D4-180,7.5,15321,7,2024-07-10,Routine inspection,13,92,65.0,2.85,83,1529,61.8,1,No,36,36,2,Good,10,Normal,Routine preventive maintenance,All parameters normal,74,No,2024-10-05
R1198,2024-07-24,FB030,Trawler,Yanmar 6LY3,7.3,14822,8,2024-06-28,Oil & filter change,26,210,78.5,4.5,89,1639,70.4,1,No,14,26,1,Poor,65,Normal,Hull/inspection required,hull_poor; inspection_overdue=65days,30,No,2024-08-23
R1199,2024-07-24,FB025,Trawler,Perkins M115T,2.1,4148,9,2024-05-11,Cooling system overhaul,74,671,71.8,2.36,99,1318,40.4,3,Yes,32,24,1,Good,24,Normal,Low oil pressure,oil_pressure=2.36bar; vibration=3; unusual_sounds; service_hours=671,56,No,2024-09-18
R1200,2024-07-25,FB019,Net Boat,Cummins QSB6.7,1.7,4221,10,2024-07-11,Oil & filter change,14,142,75.1,3.16,86,1672,77.0,1,No,5,11,1,Good,9,Normal,Routine preventive maintenance,All parameters normal,59,No,2024-09-22
R1201,2024-07-25,FB027,Gillnetter,Caterpillar C9.3,1.9,3955,7,2024-07-02,Oil & filter change,23,164,80.1,3.14,87,1267,43.0,4,Yes,36,38,1,Good,8,Normal,Abnormal vibration/noise,vibration=4; unusual_sounds,46,No,2024-09-09
R1202,2024-07-26,FB015,Trawler,Yanmar 6LY3,7.5,15218,8,2024-07-19,Routine inspection,7,57,70.2,5.32,87,1471,44.6,3,No,38,42,1,Poor,59,Normal,Hull/inspection required,vibration=3; hull_poor; inspection_overdue=59days,14,No,2024-08-09
R1203,2024-07-26,FB030,Trawler,Yanmar 6LY3,3.1,6722,9,2024-05-08,Cooling system overhaul,79,716,79.1,3.05,87,997,19.1,2,No,27,31,2,Good,19,Normal,Approaching service interval,service_hours=716,9,No,2024-08-04
R1204,2024-07-26,FB023,Seiner,Volvo D13,5.3,10781,7,2024-07-13,Oil & filter change,13,97,76.5,1.88,90,1559,61.3,3,No,26,28,3,Poor,65,Normal,Low oil pressure,oil_pressure=1.88bar; vibration=3; hull_poor; inspection_overdue=65days,40,No,2024-09-04
R1205,2024-07-27,FB020,Trawler,Cummins 6BTA,4.5,8550,8,2024-06-10,Cooling system service,47,383,73.4,3.13,83,1279,30.2,2,No,23,21,1,Good,23,Normal,Routine preventive maintenance,All parameters normal,66,No,2024-10-01
R1206,2024-07-27,FB028,Seiner,John Deere 6068,7.1,12980,10,2024-07-14,Oil & filter change,13,130,74.7,3.96,97,1439,69.7,2,No,28,29,1,Fair,44,Normal,Routine preventive maintenance,All parameters normal,25,No,2024-08-21
R1207,2024-07-28,FB016,Longline,Yanmar 4JH45,4.9,9561,9,2024-07-02,Fuel filter replacement,26,240,76.9,4.23,90,966,36.7,1,No,27,41,1,Good,5,Normal,Routine preventive maintenance,All parameters normal,73,No,2024-10-09
R1208,2024-07-28,FB022,Gillnetter,Volvo D4-180,5.0,10380,9,2024-07-22,Oil & filter change,6,56,72.6,5.42,100,843,36.8,2,No,57,48,1,Good,6,Normal,Oil change due soon,oil_change_overdue=57days,22,No,2024-08-19
R1209,2024-07-29,FB009,Net Boat,Perkins M92,8.4,16623,9,2024-05-18,Valve adjustment,72,653,78.0,4.73,83,1219,56.8,1,No,52,46,3,Fair,27,Normal,Approaching service interval,service_hours=653; oil_change_overdue=52days,4,Yes,2024-08-02
R1210,2024-07-29,FB029,Net Boat,MAN D2862,2.6,5600,11,2024-06-21,Cooling system service,38,428,76.1,3.75,100,1615,60.1,2,No,9,1,1,Good,13,Normal,Routine preventive maintenance,All parameters normal,26,No,2024-08-24
R1211,2024-07-30,FB019,Net Boat,Cummins QSB6.7,7.3,14674,9,2024-05-11,Cooling system overhaul,80,722,73.7,2.89,99,1593,54.2,1,No,23,28,2,Fair,42,Normal,Approaching service interval,service_hours=722,58,No,2024-09-26
R1212,2024-07-30,FB024,Net Boat,Perkins M92,1.9,4444,9,2024-06-06,Fuel filter replacement,54,494,89.1,4.9,88,1190,15.6,2,No,67,65,2,Good,24,Normal,Oil change overdue,temp=89.1C; oil_change_overdue=67days; filter_overdue=65days,29,No,2024-08-28
R1213,2024-07-31,FB014,Net Boat,MAN D2862,4.8,9452,11,2024-07-08,Fuel filter replacement,23,261,80.9,3.31,88,1431,49.4,2,No,40,31,3,Good,21,Normal,Routine preventive maintenance,All parameters normal,87,No,2024-10-26
R1214,2024-07-31,FB027,Gillnetter,Caterpillar C9.3,7.7,15633,7,2024-07-15,Routine inspection,16,115,75.3,3.07,85,1276,60.3,1,No,16,11,1,Good,24,Normal,Routine preventive maintenance,All parameters normal,37,No,2024-09-06
R1215,2024-08-01,FB003,Seiner,Cummins 6BT5.9,6.2,12652,7,2024-06-19,Oil & filter change,43,307,79.0,3.27,85,1424,45.2,1,No,47,43,1,Good,13,Normal,Oil change due soon,oil_change_overdue=47days,75,No,2024-10-15
R1216,2024-08-01,FB004,Net Boat,Cummins QSB6.7,6.3,13350,9,2024-06-25,Oil & filter change,37,336,70.8,2.6,90,1524,56.3,3,No,40,32,1,Good,19,Normal,Routine preventive maintenance,oil_pressure=2.6bar; vibration=3,70,No,2024-10-10
R1217,2024-08-02,FB016,Longline,Yanmar 4JH45,3.3,5746,8,2024-05-28,Fuel filter replacement,66,534,74.9,3.23,91,1478,50.7,1,No,36,45,2,Fair,25,Normal,Routine preventive maintenance,All parameters normal,18,No,2024-08-20
R1218,2024-08-02,FB022,Gillnetter,Volvo D4-180,4.4,8570,8,2024-07-07,Fuel filter replacement,26,208,75.8,3.41,81,1973,86.5,1,No,33,23,2,Good,7,Normal,Routine preventive maintenance,coolant=81%,85,No,2024-10-26
R1219,2024-08-03,FB025,Trawler,Perkins M115T,4.1,8624,7,2024-05-23,Cooling system service,72,506,69.3,4.18,100,1180,50.7,1,No,61,73,2,Good,23,Normal,Oil change overdue,oil_change_overdue=61days; filter_overdue=73days,42,No,2024-09-14
R1220,2024-08-03,FB014,Net Boat,MAN D2862,5.2,11172,11,2024-07-24,Routine inspection,10,116,80.7,3.29,89,1485,42.2,4,Yes,11,25,1,Poor,55,Normal,Abnormal vibration/noise,vibration=4; unusual_sounds; hull_poor; inspection_overdue=55days,36,No,2024-09-08
R1221,2024-08-04,FB020,Trawler,Cummins 6BTA,4.7,9520,10,2024-07-05,Fuel filter replacement,30,302,74.5,2.59,91,1845,63.9,2,No,36,48,1,Fair,42,Normal,Routine preventive maintenance,oil_pressure=2.59bar,41,No,2024-09-14
R1222,2024-08-04,FB017,Gillnetter,Yanmar 4LHA,3.8,7453,10,2024-05-16,Major service,80,807,75.5,2.32,87,1580,74.7,2,No,33,28,2,Good,27,Normal,Low oil pressure,oil_pressure=2.32bar; service_hours=807,38,No,2024-09-11
R1223,2024-08-05,FB029,Net Boat,MAN D2862,3.6,7578,7,2024-07-11,Fuel filter replacement,25,177,74.0,3.77,89,1073,39.8,3,No,51,46,1,Fair,38,Normal,Oil change due soon,vibration=3; oil_change_overdue=51days,34,No,2024-09-08
R1224,2024-08-05,FB020,Trawler,Cummins 6BTA,3.3,7034,8,2024-07-19,Oil & filter change,17,141,98.7,3.66,88,1216,38.8,2,No,26,40,3,Fair,24,Normal,Overheating risk,temp=98.7C,17,No,2024-08-22
R1225,2024-08-05,FB013,Seiner,John Deere 6068,4.1,8020,10,2024-07-25,Oil & filter change,11,117,73.4,3.16,90,1980,98.0,3,Yes,40,45,3,Fair,40,Normal,Routine preventive maintenance,vibration=3; unusual_sounds,37,No,2024-09-11
R1226,2024-08-06,FB030,Trawler,Yanmar 6LY3,2.5,5165,9,2024-07-05,Fuel filter replacement,32,291,65.0,3.23,90,1364,37.0,2,No,59,62,1,Good,23,Normal,Oil change due soon,oil_change_overdue=59days; filter_overdue=62days,25,No,2024-08-31
R1227,2024-08-06,FB004,Net Boat,Cummins QSB6.7,7.6,15790,10,2024-07-05,Fuel filter replacement,32,323,66.8,3.91,95,1478,64.0,3,No,9,20,2,Fair,29,Normal,Routine preventive maintenance,vibration=3,76,No,2024-10-21
R1228,2024-08-07,FB030,Trawler,Yanmar 6LY3,5.7,12345,10,2024-05-06,Major service,93,935,83.3,4.71,92,1375,49.3,2,No,7,1,1,Poor,55,Normal,Service interval reached (hours),service_hours=935; hull_poor; inspection_overdue=55days,27,No,2024-09-03
R1229,2024-08-07,FB005,Trawler,Cummins 6BTA,2.4,5171,9,2024-05-21,Major service,78,709,87.4,2.98,95,1032,36.3,1,No,17,17,4,Good,19,Normal,Approaching service interval,temp=87.4C; service_hours=709; sea_state=4,57,No,2024-10-03
R1230,2024-08-08,FB009,Net Boat,Perkins M92,6.4,12822,10,2024-06-18,Cooling system service,51,519,73.2,3.67,90,1589,40.3,1,No,10,3,2,Fair,42,Normal,Routine preventive maintenance,All parameters normal,31,No,2024-09-08
R1231,2024-08-08,FB025,Trawler,Perkins M115T,7.4,14772,8,2024-06-13,Oil & filter change,56,450,87.0,4.37,92,1244,40.3,1,No,6,15,1,Good,9,Normal,Routine preventive maintenance,All parameters normal,6,Yes,2024-08-14
R1232,2024-08-09,FB023,Seiner,Volvo D13,3.2,6678,7,2024-07-26,Oil & filter change,14,104,83.2,2.98,89,1334,54.3,2,No,52,47,2,Good,6,Normal,Oil change due soon,oil_change_overdue=52days,40,No,2024-09-18
R1233,2024-08-09,FB030,Trawler,Yanmar 6LY3,2.6,5142,11,2024-05-19,Major service,82,912,76.7,3.59,97,1430,52.4,5,No,11,4,1,Poor,60,Normal,Service interval reached (hours),vibration=5; service_hours=912; hull_poor; inspection_overdue=60days,34,No,2024-09-12
R1234,2024-08-10,FB023,Seiner,Volvo D13,1.6,3294,7,2024-06-19,Oil & filter change,52,364,76.2,3.57,92,1810,85.4,3,No,38,37,1,Good,5,Normal,Routine preventive maintenance,vibration=3,12,No,2024-08-22
R1235,2024-08-10,FB020,Trawler,Cummins 6BTA,1.8,3071,8,2024-07-18,Fuel filter replacement,23,186,79.3,2.55,90,1367,60.5,3,Yes,47,51,1,Good,15,Normal,Oil change due soon,oil_pressure=2.55bar; vibration=3; unusual_sounds; oil_change_overdue=47days,45,No,2024-09-24
R1236,2024-08-11,FB011,Longline,Caterpillar C7.1,6.8,14248,7,2024-04-09,Cooling system overhaul,124,873,84.1,3.73,89,1319,38.2,2,No,29,24,1,Fair,30,Normal,Service interval reached (hours),service_hours=873,53,No,2024-10-03
R1237,2024-08-11,FB001,Longline,Yanmar 4JH45,8.4,16229,8,2024-06-22,Cooling system service,50,400,80.8,3.63,90,1078,40.9,4,Yes,9,21,1,Poor,55,Normal,Abnormal vibration/noise,vibration=4; unusual_sounds; hull_poor; inspection_overdue=55days,7,Yes,2024-08-18
R1238,2024-08-12,FB004,Net Boat,Cummins QSB6.7,1.8,3383,8,2024-07-25,Oil & filter change,18,144,73.3,4.04,91,1797,64.5,3,No,67,77,4,Fair,46,Normal,Oil change overdue,vibration=3; oil_change_overdue=67days; filter_overdue=77days; sea_state=4; inspection_overdue=46days,10,No,2024-08-22
R1239,2024-08-12,FB009,Net Boat,Perkins M92,6.7,13448,7,2024-06-09,Cooling system service,64,450,76.8,2.65,90,1302,46.4,1,No,10,22,2,Poor,68,Normal,Hull/inspection required,oil_pressure=2.65bar; hull_poor; inspection_overdue=68days,45,No,2024-09-26
R1240,2024-08-13,FB002,Gillnetter,Yanmar 4LHA,2.0,4995,9,2024-08-05,Oil & filter change,8,75,91.9,3.61,87,1811,80.1,2,No,17,16,3,Good,20,Normal,Cooling system check required,temp=91.9C,17,No,2024-08-30
R1241,2024-08-13,FB016,Longline,Yanmar 4JH45,5.6,10988,11,2024-08-01,Routine inspection,12,134,79.8,4.71,95,1299,38.2,2,No,67,66,1,Fair,32,Normal,Oil change overdue,oil_change_overdue=67days; filter_overdue=66days,26,No,2024-09-08
R1242,2024-08-14,FB024,Net Boat,Perkins M92,6.8,13266,7,2024-07-29,Oil & filter change,16,113,84.1,5.26,95,1330,54.5,1,No,67,70,3,Fair,39,Normal,Oil change overdue,oil_change_overdue=67days; filter_overdue=70days,62,No,2024-10-15
R1243,2024-08-14,FB029,Net Boat,MAN D2862,4.0,7724,11,2024-07-24,Fuel filter replacement,21,241,81.8,4.62,100,1404,47.0,1,Yes,14,26,2,Good,8,Normal,Routine preventive maintenance,unusual_sounds,46,No,2024-09-29
R1244,2024-08-15,FB015,Trawler,Yanmar 6LY3,1.6,4029,9,2024-08-09,Routine inspection,6,57,79.9,2.66,87,889,17.7,1,No,16,18,2,Good,27,Normal,Routine preventive maintenance,oil_pressure=2.66bar,64,No,2024-10-18
R1245,2024-08-15,FB027,Gillnetter,Caterpillar C9.3,5.7,9993,9,2024-07-29,Oil & filter change,17,155,78.8,3.96,94,1373,56.2,1,No,18,17,3,Fair,46,Normal,Hull/inspection required,inspection_overdue=46days,2,Yes,2024-08-17
R1246,2024-08-15,FB030,Trawler,Yanmar 6LY3,8.4,16298,9,2024-07-05,Oil & filter change,41,370,84.3,3.21,79,1236,34.7,1,No,28,34,2,Fair,31,Normal,Cooling system check required,coolant=79%,54,No,2024-10-08
R1247,2024-08-16,FB026,Longline,Caterpillar C7.1,3.3,7965,8,2024-08-06,Routine inspection,10,87,83.0,3.83,95,1442,45.7,4,No,37,30,2,Good,5,Normal,Routine preventive maintenance,vibration=4,65,No,2024-10-20
R1248,2024-08-16,FB014,Net Boat,MAN D2862,2.8,5895,7,2024-07-09,Oil & filter change,38,269,79.8,2.98,82,1514,67.0,1,No,7,21,3,Good,24,Normal,Routine preventive maintenance,All parameters normal,51,No,2024-10-06
R1249,2024-08-17,FB010,Trawler,Perkins M115T,2.4,4247,9,2024-07-12,Fuel filter replacement,36,326,73.1,2.23,85,1554,60.9,3,Yes,69,76,1,Good,5,Normal,Low oil pressure,oil_pressure=2.23bar; vibration=3; unusual_sounds; oil_change_overdue=69days; filter_overdue=76days,26,No,2024-09-12
R1250,2024-08-17,FB030,Trawler,Yanmar 6LY3,5.4,10779,11,2024-08-11,Oil & filter change,6,70,80.7,3.32,92,1467,42.0,1,No,5,6,1,Good,7,Normal,Routine preventive maintenance,All parameters normal,29,No,2024-09-15
R1251,2024-08-18,FB008,Seiner,Volvo D13,5.7,11433,9,2024-07-28,Fuel filter replacement,21,192,77.5,4.18,87,1768,79.5,5,Yes,17,9,5,Good,5,Normal,Abnormal vibration/noise,vibration=5; unusual_sounds; sea_state=5,21,No,2024-09-08
R1252,2024-08-18,FB013,Seiner,John Deere 6068,7.0,14423,9,2024-08-02,Oil & filter change,16,150,75.8,3.83,86,1560,56.6,3,No,51,49,3,Fair,26,Normal,Oil change due soon,vibration=3; oil_change_overdue=51days,11,No,2024-08-29
R1253,2024-08-19,FB003,Seiner,Cummins 6BT5.9,6.8,14519,10,2024-07-21,Fuel filter replacement,29,292,96.8,3.92,88,1026,17.9,4,Yes,9,13,2,Fair,47,Normal,Overheating risk,temp=96.8C; vibration=4; unusual_sounds; inspection_overdue=47days,8,No,2024-08-27
R1254,2024-08-19,FB024,Net Boat,Perkins M92,7.7,15594,8,2024-05-19,Cooling system overhaul,92,736,67.2,3.77,95,1471,32.7,2,No,15,29,2,Poor,56,Normal,Approaching service interval,service_hours=736; hull_poor; inspection_overdue=56days,11,No,2024-08-30
R1255,2024-08-20,FB020,Trawler,Cummins 6BTA,7.1,13930,7,2024-08-09,Oil & filter change,11,77,84.7,3.92,85,1593,70.2,2,No,30,32,3,Fair,26,Normal,Routine preventive maintenance,All parameters normal,36,No,2024-09-25
R1256,2024-08-20,FB003,Seiner,Cummins 6BT5.9,3.2,6793,9,2024-08-09,Oil & filter change,11,103,72.0,4.02,90,1456,46.7,1,No,32,46,2,Fair,48,Normal,Hull/inspection required,inspection_overdue=48days,59,No,2024-10-18
R1257,2024-08-21,FB007,Gillnetter,Volvo D4-180,5.4,10450,11,2024-08-09,Routine inspection,12,140,78.9,3.38,88,931,14.1,2,No,8,10,1,Poor,55,Normal,Hull/inspection required,hull_poor; inspection_overdue=55days,39,No,2024-09-29
R1258,2024-08-21,FB017,Gillnetter,Yanmar 4LHA,3.6,6683,8,2024-06-02,Major service,80,641,96.0,3.67,95,1206,46.3,3,Yes,53,62,2,Good,21,Normal,Overheating risk,temp=96.0C; vibration=3; unusual_sounds; service_hours=641; oil_change_overdue=53days; filter_overdue=62days,8,No,2024-08-29
R1259,2024-08-22,FB017,Gillnetter,Yanmar 4LHA,3.8,6720,11,2024-07-18,Cooling system service,35,388,71.3,4.99,96,1537,66.2,1,No,62,54,1,Good,17,Normal,Oil change overdue,oil_change_overdue=62days,54,No,2024-10-15
R1260,2024-08-22,FB025,Trawler,Perkins M115T,8.0,15217,11,2024-07-02,Fuel filter replacement,51,566,72.9,3.71,79,1152,30.5,1,No,29,38,1,Poor,47,Normal,Cooling system check required,coolant=79%; hull_poor; inspection_overdue=47days,55,No,2024-10-16
